name,en_US,ja_JP,ko_KR,cn_CN
Main.error.restartAdmin,"

Faulty CATS installation found!
To fix this restart Blender as admin!     
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 Blender를 관리자로 다시 시작하세요!     
","检测到 CATS 插件安装损坏！
修复方法：以管理员身份重启 Blender！"
Main.error.deleteFollowing,"                                                                                                                                                                                                         

Faulty CATS installation found!
To fix this delete the following files and folders inside your addons folder:
",,"                                                                                                                                                                                                         

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 addons 폴더에서 다음 파일과 폴더를 삭제하세요.:
","检测到 CATS 插件安装损坏！
修复方法：删除插件文件夹内的以下文件及文件夹！"
Main.error.installViaPreferences,"

Faulty CATS installation found!
Please install CATS via User Preferences and restart Blender!
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
사용자 환경 설정(User Preferences)을 통해 CATS를 설치하고 블렌더를 다시 시작하세요!
","检测到 CATS 插件安装损坏！
请通过用户偏好设置安装 CATS 插件并重启 Blender！"
Main.error.restartAndEnable,"

Faulty CATS installation was found and fixed!
Please restart Blender and enable CATS again!
",,"

잘못된 설치된 Cats Plugin 발견됐고 수정되었습니다!
Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
","检测到 CATS 插件安装损坏，已完成修复！
请重启 Blender 并重新启用 CATS 插件！"
Main.error.unsupportedVersion,"

Blender versions older than 2.79 are not supported by Cats. 
Please use Blender 2.79 or later.
",,"

2.79 이전의 블렌더 버전은 Cats에서 지원하지 않습니다. 
Blender 2.79 버전 이상을 사용하세요.
","CATS 插件不支持 2.79 以下版本的 Blender
请使用 2.79 及更高版本。"
Main.error.beta2.80,"

You are still on the beta version of Blender 2.80!
Please update to the release version of Blender 2.80.
",,"

아직 Blender 2.80 베타 버전을 사용 중입니다!
Blender를 2.80 정식 버전으로 업데이트하세요.
","你当前使用的是 Blender 2.80 测试版！
请更新至 Blender 2.80 正式版。"
Main.error.restartAndEnable_alt,"

Please restart Blender and enable CATS again!
",,"

Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
",请重启 Blender 并重新启用 CATS 插件！
ToolPanel.label,Cats Blender Plugin,Cats ブレンダープラグイン,,CATS Blender 插件
ToolPanel.category,CATS,,,CATS
ArmaturePanel.label,Model,モデル,모델,模型
ArmaturePanel.warn.oldBlender1,Old Blender version detected!,古いブレンダーバージョンが検出されました!,이전 블렌더 버전이 발견되었습니다!,检测到 Blender 版本过旧！
ArmaturePanel.warn.oldBlender2,Some features might not work!,一部の機能は動作しない可能性があります!,일부 기능이 작동하지 않을 수 있습니다!,部分功能可能无法正常运行！
ArmaturePanel.warn.oldBlender3,Please update to Blender 2.79!,ブレンダー2.79以上にアップデートしてください!,블렌더 2.79 버전으로 업데이트하세요!,请更新至 2.79 版本！
ArmaturePanel.warn.noDict1,Dictionary not found!,辞書が見つかりません!,사전파일(Dictionary)을 찾을 수 없습니다!,未找到词典文件！
ArmaturePanel.warn.noDict2,"Translations will work, but are not optimized.",翻訳は機能しますが、最適化されません。,번역은 되지만 최적화되지는 않습니다.,翻译功能可运行，但未做优化。
ArmaturePanel.warn.noDict3,Reinstall Cats to fix this.,これを修正するためにCatsを再インストールします。,이 문제를 해결하려면 Cats를 다시 설치하세요.,重新安装 CATS 插件即可修复。
ArmaturePanel.ImportAnyModel.label,Import Model,モデルのインポート,모델 불러오기,导入模型
ModelSettings.label,Fix Model Settings,モデル設定の修正,모델 고치기 설정,修复模型设置
ModelSettings.warn.fbtFix1,The Full Body Tracking Fix,フル ボディトラッキングの修正,풀바디 트래킹 수정,VRChat全身追踪修复功能
ModelSettings.warn.fbtFix2,is no longer needed for VRChat.,もはやVrChatのために必要とされていません。,VRChat에 더 이상 필요하지 않음.,已无需启用
ModelSettings.warn.fbtFix3,It's still available in Model Options.,モデル オプションで引き続き使用できます。.,이것은 모델옵션에서 여전히 이용가능.,该功能仍保留在模型选项面板中。
ManualPanel.label,Model Options,モデル オプション,모델 옵션,模型选项
ManualPanel.separateBy,Separate by:,別に:,메쉬 분리:,分离依据：
ManualPanel.SeparateByMaterials.label,Materials,材料,매테리얼별로,材质
ManualPanel.SeparateByLooseParts.label,Loose Parts,緩い部品,느슨한 부분별로,松散部件
ManualPanel.SeparateByShapekeys.label,Shapes,図形,쉐이프별로,形状键
ManualPanel.joinMeshes,Join Meshes:,メッシュに参加する:,메쉬 통합:,合并网格：
ManualPanel.JoinMeshes.label,All,すべて,모두,全部
ManualPanel.JoinMeshesSelected.label,Selected,選択,선택된 메쉬들,选中对象
ManualPanel.mergeWeights,Merge Weights:,ウェイトをマージする:,웨이트 통합:,合并权重：
ManualPanel.MergeWeights.label,To Parents,親へ,부모 본으로,至父级骨骼
ManualPanel.MergeWeightsToActive.label,To Active,アクティブに,활성화된 본으로,至活动骨骼
ManualPanel.translate,Translate:,翻訳する:,일본어를 영어로 번역:,重命名 / 统一标识：
ManualPanel.TranslateAllButton.label,All,すべて,모두,全部
ManualPanel.TranslateShapekeyButton.label,Shape Keys,シェイプキー,쉐이프키,形状键
ManualPanel.TranslateObjectsButton.label,Objects,オブジェクト,오브젝트,对象
ManualPanel.TranslateBonesButton.label,Bones,骨,본,骨骼
ManualPanel.TranslateMaterialsButton.label,Materials,材料,매테리얼,材质
ManualPanel.delete,Delete:,削除:,제거:,删除：
ManualPanel.RemoveZeroWeightBones.label,Zero Weight Bones,ゼロウェイト ボーン,제로 웨이트 본,零权重骨骼
ManualPanel.RemoveConstraints,Constraints,制約,컨스트레이트,约束器
ManualPanel.RemoveZeroWeightGroups,Zero Weight Vertex Groups,ゼロウェイト頂点グループ,제로 웨이트 버텍스 그룹,零权重顶点组
ManualPanel.normals,Normals:,法線:,노말:,法向量：
ManualPanel.RecalculateNormals.label,Recalculate,再計算,재계산,重新计算
ManualPanel.FlipNormals.label,Flip,フリップ,뒤집기,翻转
ManualPanel.fbtFix,Full Body Tracking Fix:,フル ボディ トラッキングの修正:,풀바디 트래킹 수정:,全身追踪修复：
ManualPanel.FixFBTButton.label,Add,追加,추가,添加
ManualPanel.RemoveFBTButton.label,Remove,削除,제거,移除
CustomPanel.label,Custom Model Creation,カスタム モデルの作成,커스텀 모델 제작,自定义模型创建
CustomPanel.mergeArmatures,Merge Armatures:,マージアーマチュア:,뼈대(Armature) 통합:,合并骨骼：
CustomPanel.warn.twoArmatures,Two armatures are required!,2つのアーマチュアが必要です!,두개의 뼈대(Armature)가 필요합니다!,操作要求：需选中两个骨骼对象！
CustomPanel.mergeInto,Base,ベース,베이스로,基础骨骼
CustomPanel.toMerge,To Merge,マージするには,통합할 부분,待合并骨骼
CustomPanel.attachToBone,Attach to,添付する,붙이기,绑定至
CustomPanel.armaturesCanMerge,Armatures can be merged automatically!,アーマチュアは自動的にマージすることができます!,뼈대(Armature)들은 자동으로 통합됩니다!,可自动完成骨骼合并！
CustomPanel.attachMesh1,Attach Mesh to Armature:,アーマチュアにメッシュをアタッチ:,메쉬를 뼈대(Armature)에 붙이기:,将网格绑定至骨骼：
CustomPanel.attachMesh2,Mesh,メッシュ,메쉬,网格对象
CustomPanel.warn.noArmOrMesh1,An armature and a mesh are required!,アーマチュアとメッシュが必要です!,뼈대(Armature)와 메쉬가 필요합니다!,操作要求：需选中骨骼和网格对象！
CustomPanel.warn.noArmOrMesh2,Make sure that the mesh has no parent.,メッシュに親が存在しないか確認します。,메쉬에 부모가 없어야 합니다.,确保该网格未设置父对象。
DecimationPanel.label,Decimation,デシメーション,버텍스 줄이기(Decimation),减面
DecimationPanel.decimationMode,Decimation Mode:,デシメーションモード:,데시메이션 모드:,减面模式：
DecimationPanel.safeModeDesc, Decent results - No shape key loss, まともな結果 - シェイプキーの損失はありません, 괜찮은 결과 - 쉐이프키 손실 없음,效果尚可 - 无形状键丢失
DecimationPanel.halfModeDesc, Good results - Minimal shape key loss, 良好な結果 - 最小のシェープキー損失," 나쁘지 않은 결과, - 최소한의 쉐이프키 손실됨",效果良好 - 形状键少量丢失
DecimationPanel.fullModeDesc, Consistent results - Full shape key loss, 一貫した結果 - フルシェイプキー損失, 일관된 결과 - 모든 쉐이프키들이 손실됨,效果稳定 - 形状键全部丢失
DecimationPanel.smartModeDesc, Best results - Preserve shape keys, 最良の結果 - 形状キーの保存, 최고의 결과 - 쉐이프키들이 보존됨,效果最优 - 保留形状键
DecimationPanel.customSeparateMaterials,Start by Separating by Materials:,材料別に分離して開始:,매테리얼별로 분리하는 것으로 시작:,建议先执行按材质分离操作：
DecimationPanel.SeparateByMaterials.label,Separate by Materials,材料別に分離,매테리얼별로 분리,按材质分离
DecimationPanel.customJoinMeshes,Stop by Joining Meshes:,メッシュに参加して停止:,메쉬를 통합하여 중지:,建议最后执行合并网格操作：
DecimationPanel.customWhitelist,Whitelisted:,ホワイトリストに登録:,화이트리스트:,白名单化：
DecimationPanel.warn.noShapekeySelected,No shape key selected,シェイプ キーが選択されていません,선택된 쉐이프키 없음,未选中任何形状键
DecimationPanel.warn.noDecimation,Every mesh is selected. This equals no Decimation.,すべてのメッシュが選択されます。これはデシメーションなしに等しい.,모든 메쉬가 선택됨. 데시메이션이 적용되지 않습니다.,选中全部网格，等同于不执行减面操作
DecimationPanel.warn.noMeshSelected,No mesh selected,メッシュが選択されていません,선택된 메쉬가 없음,未选中任何网格
DecimationPanel.warn.emptyList,"Both lists are empty, this equals Full Decimation!",両方のリストが空で、これは完全なデシメーションに等しい!,양쪽 리스트들이 비어있어 전체 메쉬의 버텍스를 줄이는 것과 같습니다!,两个列表均为空，等同于执行全量减面！
DecimationPanel.warn.correctWhitelist,Both whitelists are considered during decimation,両方のホワイトリストはデシメーション中に考慮されます,양쪽 화이트리스트들은 데시메이션 중에 고려됩니다.,减面时将同时参考两个白名单
DecimationPanel.preset.excellent.label,Excellent,優れた,,优秀
DecimationPanel.preset.excellent.description,The maximum number of tris you can have for an Excellent rating.,優れた評価を得るために持つことができるトリスの最大数,당신의 아바타가 Excellent 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.,可达到该评级的最大三角面数
DecimationPanel.preset.good.label,Good,良い,,良好
DecimationPanel.preset.good.description,The maximum number of tris you can have for a Good rating.,あなたが良い評価のために持つことができるトリスの最大数,당신의 아바타가 Good 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.,可达到该评级的最大三角面数
DecimationPanel.preset.quest.label,Quest,,,Quest版
DecimationPanel.preset.quest.description,"The recommended number of tris for Quest avatars.
A hard limit will be established in the future that will not be much more than this.","Questアバターの推奨トリス数.
将来的には、これをはるかに超えることのない厳しい制限が設定されます。","퀘스트용 아바타들을 위해 권장되는 삼각폴리곤(Tris)의 개수입니다.
앞으로는 이보다 심하지는 않을 엄격한 제한이 설정될 것입니다.","VRChat Quest版化身推荐三角面数。
未来将设置硬性上限，数值与该推荐值相差无几。"
DecimationPanel.warn.notIfBaking,Not reccomended if baking!,,베이킹 할 시 권장되지 않습니다!,烘焙时不建议使用此参数！
EyeTrackingPanel.label,Eye Tracking,アイトラッキング,눈 추적(Eye Tracking),眼球追踪
EyeTrackingPanel.error.noMesh,No meshes found!,メッシュが見つかりません!,메쉬가 발견되지 않음!,未检测到网格对象！
EyeTrackingPanel.error.noArm,No model found!,モデルが見つかりません!,모델이 발견되지 않음!,未检测到模型对象！
EyeTrackingPanel.error.wrongNameArm1,Your armature has to be named 'Armature',アイトラッキングが機能するには,뼈대는 반드시 'Armature'로 이름을 지어야 합니다.,眼球追踪功能要求
EyeTrackingPanel.error.wrongNameArm2,      for Eye Tracking to work!,      アーマチュアに'Armature'という名前を付ける必要があります。,      눈 추적(Eye Tracking)이 작동하기 위해!,骨骼对象命名为 Armature！
EyeTrackingPanel.error.wrongNameArm3,      (currently ',      (現在は ',      (현재로서는 ',（当前名称：
EyeTrackingPanel.error.wrongNameBody1,The mesh containing the eyes has to be,アイトラッキングが機能するには,눈들을 포함한 메쉬는 반드시,眼球追踪功能要求
EyeTrackingPanel.error.wrongNameBody2,      named 'Body' for Eye Tracking to work!,      目を含むメッシュに'Body'という名前を付ける必要があります!,      눈 추적(Eye Tracking)을 위해 'Body'로 이름을 지어야 합니다.,包含眼球的网格对象命名为 Body！
EyeTrackingPanel.error.wrongNameBody3,      (currently ',      (現在は ',      (현재로서는 ',（当前名称：
EyeTrackingPanel.warn.assignEyes1,Don't forget to assign 'LeftEye' and 'RightEye','左目'と'右目' を割り当てることを忘れないでください。,유니티에서 'LeftEye'와 'RightEye'를 ,请在 Unity 中
EyeTrackingPanel.warn.assignEyes2,      to the eyes in Unity!,      ユニティの目に,      적용하는 것을 잊지 마세요!,为眼球分配左眼和右眼骨骼标识！
VisemePanel.label,Visemes,バイセム,립싱크(Visemes),口型动画
VisemePanel.error.noMesh,No meshes found!,メッシュが見つかりません!,메쉬가 발견되지 않음!,未检测到网格对象！
BoneRootPanel.label,Bone Parenting,ボーンの子育て,본 부모설정,骨骼父子绑定
OptimizePanel.label,Optimization,最適化,최적화,优化面板
OptimizePanel.atlasDesc,A greatly improved Atlas Generator.,アトラスジェネレータを大幅に改良。,텍스처들을 결합시켜주는 더욱 향상된 아틀라스 생성기입니다.,全新优化的图集生成器
OptimizePanel.atlasAuthor,Made by Shotariya,shotaryiaによって作られた,제작자: Shotariya,由 Shotariya 开发
OptimizePanel.matCombDisabled1,Material Combiner is not enabled!,マテリアル コンバイナーが有効になっていません!,매테리얼 통합기가 활성화되지 않았습니다!,材质合并器未启用！
OptimizePanel.matCombDisabled2,Enable it in your user preferences:,ユーザー設定で有効にする:,User preferences에서 이것을 활성화하세요:,请在用户偏好设置中开启！
OptimizePanel.matCombOutdated1,Your Material Combiner is outdated!,マテリアル コンバイナーが古い!,당신의 매테리얼 통합기의 버전이 낮습니다!,你的材质合并器版本过旧！
OptimizePanel.matCombOutdated2,Please update to the latest version.,最新バージョンにアップデートしてください.,최신버전으로 업데이트하세요.,请更新至最新版本。
OptimizePanel.matCombOutdated3,Update via the 'Updates' panel,'更新' パネルを使用して更新します。,'Updates' 패널에서 업데이트하세요.,可在材质合并器标签页的
OptimizePanel.matCombOutdated4,in the 'MatCombiner' tab to the {location},'MatCombiner' タブの {location},'MatCombiner' 탭의 {location},请在「MatCombiner」标签页中将材质合并输出位置设置为 {location}
OptimizePanel.matCombOutdated5_2.79,left.,左側にあります。。,왼쪽에 있습니다.,左侧版本
OptimizePanel.matCombOutdated5_2.8,right.,右側にあります。。,오른쪽에 있습니다.,右侧版本
OptimizePanel.matCombOutdated6,Or download and install it manually:,または手動でダウンロードしてインストールする:,혹은 직접 다운로드와 설치하기:,或手动下载并安装：
OptimizePanel.matCombOutdated6_alt,Download and install it manually:,手動でダウンロードしてインストールする:,직접 다운로드와 설치하기:,手动下载安装
OptimizePanel.matCombNotInstalled,Material Combiner is not installed!,マテリアル コンバイナーがインストールされていません!,매테리얼 통합기가 설치되지 않았습니다!,材质合并器未安装！
CopyProtectionPanel.label,Copy Protection,コピープロテクション,복사핵 방지,复制保护
CopyProtectionPanel.desc1,Tries to protect your avatar from Unity cache ripping.,Unity キャッシュリッピングからアバターを保護しようとします。,유니티 캐쉬뜨기로부터 당신의 아바타를 보호하세요.,防止你的 VRChat 化身被通过 Unity 缓存窃取
CopyProtectionPanel.desc2,This protection is not 100% safe!,この保護は100%安全ではありません!,이 방법도 100% 안전하지는 않습니다!,本保护机制并非 100% 有效！
CopyProtectionPanel.desc3,Before use: Read the documentation!,使用前: ドキュメントを読んでください!,사용 전에: 문서를 읽어주세요!,使用前请阅读官方文档！
BakePanel.label,Bake,焼く,베이크(Bake),烘焙
BakePanel.versionTooOld,Only for Blender 2.80+,,Blender 2.80 버전 이상에서만 호환,仅适用于 Blender 2.80 及以上版本
BakePanel.autodetectlabel,Autodetect:,,자동감지:,自动检测：
BakePanel.generaloptionslabel,General options:,,일반 옵션:,通用选项：
BakePanel.noheadfound,"No ""Head"" bone found!",,"""Head"" 본 발견되지 않음!",未检测到头部骨骼！
BakePanel.overlapfixlabel,Overlap fix:,,중복 수정:,重叠修复：
BakePanel.bakepasseslabel,Bake passes:,,베이크 패스:,烘焙通道：
BakePanel.alphalabel,Alpha:,,,透明度：
BakePanel.transparencywarning,Transparency isn't currently selected!,,현재 투명도가 선택되지 않았습니다!,当前未勾选透明度通道！
BakePanel.smoothnesswarning,Smoothness isn't currently selected!,,현재 부드러움이 선택되지 않았습니다!,当前未勾选平滑度通道！
BakePanel.doublepackwarning,Smoothness packed in two places!,,두군데에 부드러움이 설정되었습니다!,平滑度信息被重复打包！
UpdaterPanel.label,Settings & Updates,設定と更新,세팅 & 업데이트,设置与更新
UpdaterPanel.name,Settings:,設定:,세팅:,设置：
SettingsPanel.name,Settings:,設定:,세팅:,设置：
UpdaterPanel.requireRestart1,Restart required.,再起動が必要.,재시작이 필요합니다.,需重启生效
UpdaterPanel.requireRestart2,Some changes require a Blender restart.,一部の変更では、ブレンダーの再起動が必要です.,일부 변경은 블렌더를 다시 시작해야합니다.,部分设置修改后需重启 Blender。
SupporterPanel.label,Supporters,支持者,후원자들,赞助者面板
SupporterPanel.desc,Do you like this plugin and want to support us?,このプラグインが好きで、私たちをサポートしたいですか?,이 플로그인이 도움 되었나요? 저희를 후원해주신다면 정말 기쁠 것입니다!,如果你喜欢本插件，欢迎进行赞助支持！
SupporterPanel.thanks,Thanks to our awesome supporters! <3,私たちの素晴らしいサポーターに感謝!<3,저희 멋진 후원자분들께 정말로 감사드립니다! <3,感谢所有热情的赞助者的支持！
SupporterPanel.missingName1,Is your name missing?,あなたの名前は見つかりませんか?,당신의 이름이 빠졌나요?,若你的名字未出现在赞助列表中
SupporterPanel.missingName2,Please contact us in our discord!,私たちのDiscordで私達にお問い合わせください!,부디 우리 디스코드 서버에 연락주시기 바랍니다!,请至我们的 Discord 社群联系我们！
CreditsPanel.label,Credits,クレジット,,鸣谢面板
CreditsPanel.desc1,Cats Blender Plugin (,,,CATS Blender 插件
CreditsPanel.desc2,Created by Hotox and GiveMeAllYourCats,HotoxとGiveMeAllYourCatsによって作成,멋진 VRChat 커뮤니티를 위해서,由 Hotox 与 GiveMeAllYourCats 开发
CreditsPanel.desc3,For the awesome VRChat community <3,素晴らしいVRChatコミュニティのために <3,Hotox와 GiveMeAllYourCats에 의해 제작됨 <3,为优秀的 VRChat 社区打造
CreditsPanel.desc4,Special thanks to:,特別な感謝: ShotariyaとNeitri,다음 분들께 특별한 감사를 전합니다:,特别鸣谢：
CreditsPanel.descContributors,"Feilen, Jordo, Ruubick, Shotariya and Neitri",Feilen、Jordo、Ruubick、ShotariyaとNeitri,"Feilen, Jordo, Ruubick, Shotariya와 Neitri",Feilen、Jordo、Ruubick、Shotariya、Neitri
CreditsPanel.desc5,Do you need help or found a bug?,助けが必要ですか、バグを見つけましたか?,도움이 필요하시거나 혹시 버그를 찾으셨나요?,需要帮助或发现程序漏洞？
FixArmature.label,Fix Model,モデル修正,모델 고치기,修复模型
FixArmature.desc,"Automatically:
- Reparents bones
- Removes unnecessary bones, objects and groups
- Translates and renames bones & objects
- Merges weight paints
- Corrects the hips
- Joins meshes
- Converts morphs into shapes
- Corrects shading",,"자동으로 아래의 항목들이 고쳐집니다:
- 본들의 부모 재설정
- 필요하지 않는 본들, 오브젝트들, 그룹들과 컨스트레인트들을 제거
- 본들과 오브젝트들을 영어로 번역하고 이름들을 바꿈
- 웨이트 페인트들을 통합
- 'hips'본을 고침
- 메쉬 통합
- morphs를 shapes로 변환
- 쉐이딩을 고침","本功能将自动执行：
- 重新设置骨骼父子关系
- 移除冗余骨骼、对象和组
- 统一重命名并转换骨骼与对象标识
- 合并权重绘制信息
- 修正臀部骨骼绑定
- 合并网格
- 将变形效果转换为形状键
- 修正着色效果"
FixArmature.error.noMesh,"No mesh inside the armature found!
If there are meshes outside of the armature,
set the armature as the parent of the meshes.",,"뼈대(Armature) 안에 메쉬가 없습니다!
만약 뼈대 밖에 메쉬들이 있다면,
그 뼈대를 메쉬들의 부모로 설정하세요.","未在骨骼对象中检测到网格！
若网格独立于骨骼存在
请将骨骼设置为该网格的父对象。"
FixArmature.error.faultyUV1,"The model was successfully fixed, but there were {uvcoord} faulty UV coordinates.",,"모델이 성공적으로 고쳐졌지만, 잘못된 UV 좌표들이 있습니다. {uvcoord}",模型已成功修复，但仍发现 {uvcoord} 个异常 UV 坐标。
FixArmature.error.faultyUV2,This could result in broken textures and you might have to fix them manually.,,이것은 텍스처를 망가뜨리는 결과를 불러올 수 있으며 당신이 그것들을 직접 손봐야할 수 있습니다.,该问题可能导致纹理破损，需手动修复。
FixArmature.error.faultyUV3,This issue is often caused by edits in PMX editor.,,이 이슈는 자주 PMX editor에서 편집할 경우 일어날 수 있습니다.,此问题多由 PMX 编辑器中的编辑操作引发。
FixArmature.fixedSuccess,Model successfully fixed.,,모델이 성공적으로 고쳐졌습니다.,模型修复成功。
FixArmature.bonesNotFound,The following bones were not found:,,해당 본들이 발견되지 않았습니다:,未检测到以下骨骼：
FixArmature.cantFix1,Looks like you found a model which Cats could not fix!,,Cats Plugin이 고칠 수 없는 모델인 것 같습니다!,检测到 CATS 插件无法修复的模型！
FixArmature.cantFix2,If this is a non modified model we would love to make it compatible.,,이것이 수정되지 않은 모델이라면 우리는 호환되도록 만들고 싶습니다.,若该模型为原版未修改模型，我们将对其进行兼容适配优化。
FixArmature.cantFix3,"Report it to us in the forum or in our discord, links can be found in the Credits panel.",,포럼이나 디스코드에서 우리에게 신고해주세요. 링크는 크레딧 패널에 있습니다.,可至论坛或 Discord 社群反馈，链接见鸣谢面板。
FixArmature.notParent," is not parented at all, this will cause problems!",," 부모설정이 전혀 안됐다면, 이로 인해 문제가 발생할 수 있습니다!",未设置任何父子绑定
FixArmature.notParentTo1, is not parented to ,, 가 ,未绑定至对应父骨骼
FixArmature.notParentTo2,", this will cause problems!",,"의 부모로 설정돼지 않았다면, 이로 인해 문제가 발생할 수 있습니다!",将导致运行异常！
StartPoseMode.label,Start Pose Mode,ポーズモードを開始,포즈모드 시작,启动姿态模式
StartPoseMode.desc,"Starts the pose mode.
This lets you test how your model will move",,"포즈모드를 시작합니다.
이것은 당신의 모델이 어떻게 움직일지 테스트할 수 있게 해줍니다","启动姿态模式
可测试模型的骨骼运动效果"
StartPoseModeNoReset.desc,"Starts the pose mode without resetting the pose.
This lets you test how your model will move",,"포즈 재설정없이 포즈모드를 시작합니다.
이것은 당신의 모델이 어떻게 움직일지 테스트할 수 있게 해줍니다","启动姿态模式（不重置当前姿态）
可测试模型的骨骼运动效果"
StopPoseMode.label,Stop Pose Mode,ポーズモードを停止する,포즈모드 중단,退出姿态模式
StopPoseMode.desc,Stops the pose mode and resets the pose to normal,,포즈모드를 중단하고 포즈를 초기상태로 되돌립니다,退出姿态模式并将骨骼姿态重置为默认状态
StopPoseModeNoReset.desc,Stops the pose mode and keeps the current pose,,포즈모드를 중단하고 현재 포즈를 유지합니다,退出姿态模式并保留当前骨骼姿态
PoseToShape.label,Pose to Shape Key,シェイプキーへのポーズ,현재 포즈를 쉐이프키로 만들기,将姿态转换为形状键
PoseToShape.desc,"This saves your current pose as a new shape key.
The new shape key will be at the bottom of your shape key list of the mesh",,"이것은 당신의 현재 포즈를 새로운 쉐이프키로 만듭니다.
새로운 쉐이프키는 메쉬의 쉐이프키 리스트의 제일 아래에 생성됩니다.",将当前骨骼姿态另存为新的形状键，该形状键将出现在网格的形状键列表末尾
PoseNamePopup.label,Give this shapekey a name:,このシェイプキーに名前を付ける:,쉐이프키의 이름 설정:,为该形状键命名：
PoseNamePopup.desc,Sets the shapekey name. Press anywhere outside to skip,,쉐이프키 이름을 설정합니다. 스킵하려면 아무 곳이나 누르세요.,设置形状键名称，点击空白处可跳过命名
PoseNamePopup.success,Pose successfully saved as shape key.,,포즈가 성공적으로 쉐이프키로 저장되었습니다.,姿态已成功另存为形状键。
PoseToRest.label,Apply as Rest Pose,レストポーズとして適用する,새로운 기본자세로 적용,应用为绑定姿态
PoseToRest.desc,"This applies the current pose position as the new rest position.

If you scale the bones equally on each axis the shape keys will be scaled correctly as well!
WARNING: This can have unwanted effects on shape keys, so be careful when modifying the head with this",,"이것은 현재 포즈를 새로운 기본 포즈로 적용합니다.

만약 당신이 뼈들의 스케일을 각 축마다 동일하게 조절했다면 쉐이프키들 또한 올바르게 적용될 것입니다!
경고: 이것은 쉐이프키에 원치 않는 영향을 줄 수 있기 때문에, 이걸로 머리를 수정할 경우 조심하세요.",将当前骨骼姿态设为新的绑定姿态。若对骨骼进行等轴缩放，形状键也将同步完成等比例缩放！警告：该操作可能对形状键产生不良影响，修改头部骨骼时请谨慎使用
PoseToRest.success,Pose successfully applied as rest pose.,,포즈가 성공적으로 기본자세로 적용되었습니다.,当前姿态已成功应用为绑定姿态。
JoinMeshes.label,Join Meshes,メッシュに参加する,메쉬 통합,合并网格
JoinMeshes.desc,"Joins all meshes of this model together.
It also:
  - Reorders all shape keys correctly
  - Applies all transforms
  - Repairs broken armature modifiers
  - Applies all decimation and mirror modifiers
  - Merges UV maps correctly",,"모델의 모든 메쉬들을 통합시킵니다.
또한:
  - 모든 쉐이프키들의 순서를 올바르게 재설정합니다.
  - 모든 변환(Transforms)을 적용
  - 망가진 아마추어 모디파이어들(armature modifiers)을 고침
  - 모든 데시메이션(decimation)과 미러 모디파이어들(mirror modifiers)을 적용
  - UV맵들을 올바르게 통합","合并模型的所有网格对象，同时执行：
- 重新整理形状键顺序
- 应用所有变换操作
- 修复损坏的骨骼修改器
- 应用减面、镜像修改器
- 正确合并 UV 贴图"
JoinMeshes.failure,Meshes could not be joined!,,메쉬들이 통합될 수 없었습니다!,网格合并失败！
JoinMeshes.success,Meshes joined.,,메쉬들이 통합됐습니다.,网格合并完成。
JoinMeshesSelected.label,Join Selected Meshes,選択したメッシュを結合する,,合并选中网格
